episode_id,policy,stop_fired,stop_step,n_steps,final_dist_m,success,oracle_success,path_length_m,dist_pred_mean,dist_pred_min,wp_norm_mean,wp_norm_min
kujiale_0092_kujiale_0092_91_1,baseline_dist,False,,51,4.2767,False,False,8.4565,0.4737,0.2404,0.1691,0.0016
kujiale_0092_kujiale_0092_9_2,baseline_dist,False,,39,2.8178,True,True,6.9823,0.4261,0.2648,0.1837,0.0172
kujiale_0118_kujiale_0118_25_3,baseline_dist,False,,50,7.2931,False,False,7.3621,0.3791,0.3341,0.1502,0.0427
kujiale_0118_kujiale_0118_31_0,baseline_dist,False,,51,3.5157,False,False,7.7967,0.3542,0.2768,0.1559,0.0486
kujiale_0118_kujiale_0118_40_4,baseline_dist,False,,69,12.5761,False,False,10.3886,0.3367,0.2304,0.1528,0.0233
kujiale_0203_kujiale_0203_15_3,baseline_dist,False,,41,5.6400,False,False,5.5887,0.3714,0.2941,0.1397,0.0599
kujiale_0203_kujiale_0203_16_3,baseline_dist,False,,54,12.0867,False,False,7.3366,0.3860,0.2411,0.1384,0.0592
kujiale_0203_kujiale_0203_22_4,baseline_dist,False,,62,7.8247,False,False,6.9055,0.3288,0.2487,0.1132,0.0205
kujiale_0203_kujiale_0203_25_0,baseline_dist,False,,47,4.5456,False,True,6.7113,0.3741,0.2873,0.1459,0.0488
kujiale_0203_kujiale_0203_32_2,baseline_dist,False,,59,5.7391,False,True,7.1924,0.3268,0.2568,0.1240,0.0377
kujiale_0203_kujiale_0203_43_1,baseline_dist,False,,44,2.2640,True,True,4.6493,0.3314,0.2337,0.1081,0.0244
kujiale_0203_kujiale_0203_49_3,baseline_dist,False,,63,1.9961,True,True,7.3228,0.3190,0.2448,0.1181,0.0112
kujiale_0271_kujiale_0271_15_1,baseline_dist,False,,67,5.4533,False,True,11.6723,0.3264,0.2234,0.1769,0.0115
kujiale_0271_kujiale_0271_24_4,baseline_dist,False,,61,7.1226,False,False,9.7451,0.3038,0.2150,0.1624,0.0391
kujiale_0271_kujiale_0271_7_3,baseline_dist,False,,74,14.4846,False,True,13.1023,0.3906,0.3092,0.1795,0.0807
kujiale_0092_kujiale_0092_91_1,stable_dist_k3,False,,51,4.2767,False,False,8.4565,0.4737,0.2404,0.1691,0.0016
kujiale_0092_kujiale_0092_9_2,stable_dist_k3,False,,39,2.8178,True,True,6.9823,0.4261,0.2648,0.1837,0.0172
kujiale_0118_kujiale_0118_25_3,stable_dist_k3,False,,50,7.2931,False,False,7.3621,0.3791,0.3341,0.1502,0.0427
kujiale_0118_kujiale_0118_31_0,stable_dist_k3,False,,51,3.5157,False,False,7.7967,0.3542,0.2768,0.1559,0.0486
kujiale_0118_kujiale_0118_40_4,stable_dist_k3,False,,69,12.5761,False,False,10.3886,0.3367,0.2304,0.1528,0.0233
kujiale_0203_kujiale_0203_15_3,stable_dist_k3,False,,41,5.6400,False,False,5.5887,0.3714,0.2941,0.1397,0.0599
kujiale_0203_kujiale_0203_16_3,stable_dist_k3,False,,54,12.0867,False,False,7.3366,0.3860,0.2411,0.1384,0.0592
kujiale_0203_kujiale_0203_22_4,stable_dist_k3,False,,62,7.8247,False,False,6.9055,0.3288,0.2487,0.1132,0.0205
kujiale_0203_kujiale_0203_25_0,stable_dist_k3,False,,47,4.5456,False,True,6.7113,0.3741,0.2873,0.1459,0.0488
kujiale_0203_kujiale_0203_32_2,stable_dist_k3,False,,59,5.7391,False,True,7.1924,0.3268,0.2568,0.1240,0.0377
kujiale_0203_kujiale_0203_43_1,stable_dist_k3,False,,44,2.2640,True,True,4.6493,0.3314,0.2337,0.1081,0.0244
kujiale_0203_kujiale_0203_49_3,stable_dist_k3,False,,63,1.9961,True,True,7.3228,0.3190,0.2448,0.1181,0.0112
kujiale_0271_kujiale_0271_15_1,stable_dist_k3,False,,67,5.4533,False,True,11.6723,0.3264,0.2234,0.1769,0.0115
kujiale_0271_kujiale_0271_24_4,stable_dist_k3,False,,61,7.1226,False,False,9.7451,0.3038,0.2150,0.1624,0.0391
kujiale_0271_kujiale_0271_7_3,stable_dist_k3,False,,74,14.4846,False,True,13.1023,0.3906,0.3092,0.1795,0.0807
kujiale_0092_kujiale_0092_91_1,waypoint_norm_k3,True,2,4,7.7083,False,False,0.4316,0.3875,0.3387,0.1439,0.0999
kujiale_0092_kujiale_0092_9_2,waypoint_norm_k3,True,6,8,7.6756,False,False,1.3058,0.3565,0.3123,0.1865,0.0696
kujiale_0118_kujiale_0118_25_3,waypoint_norm_k3,True,2,4,3.5273,False,False,0.5659,0.4052,0.3927,0.1886,0.1861
kujiale_0118_kujiale_0118_31_0,waypoint_norm_k3,True,7,9,6.5873,False,False,1.5098,0.3707,0.3255,0.1887,0.1030
kujiale_0118_kujiale_0118_40_4,waypoint_norm_k3,True,11,13,9.9533,False,False,2.3304,0.3390,0.3079,0.1942,0.1529
kujiale_0203_kujiale_0203_15_3,waypoint_norm_k3,True,2,4,5.3299,False,False,0.4936,0.4308,0.4074,0.1645,0.1310
kujiale_0203_kujiale_0203_16_3,waypoint_norm_k3,True,2,4,5.4902,False,False,0.3678,0.3976,0.3492,0.1226,0.1128
kujiale_0203_kujiale_0203_22_4,waypoint_norm_k3,True,2,4,5.8450,False,False,0.3875,0.3518,0.3281,0.1292,0.0975
kujiale_0203_kujiale_0203_25_0,waypoint_norm_k3,True,2,4,2.3785,True,True,0.4576,0.3242,0.2897,0.1525,0.1318
kujiale_0203_kujiale_0203_32_2,waypoint_norm_k3,True,2,4,2.1509,True,True,0.4704,0.3178,0.3091,0.1568,0.1252
kujiale_0203_kujiale_0203_43_1,waypoint_norm_k3,True,2,4,6.0608,False,False,0.3425,0.2553,0.2337,0.1142,0.0782
kujiale_0203_kujiale_0203_49_3,waypoint_norm_k3,True,2,4,6.0870,False,False,0.4690,0.3390,0.2970,0.1563,0.1514
kujiale_0271_kujiale_0271_15_1,waypoint_norm_k3,True,26,28,1.7757,True,True,5.9961,0.3478,0.2564,0.2221,0.1653
kujiale_0271_kujiale_0271_24_4,waypoint_norm_k3,True,15,17,7.1133,False,False,3.3650,0.3070,0.2673,0.2103,0.1787
kujiale_0271_kujiale_0271_7_3,waypoint_norm_k3,True,2,4,2.4406,True,True,0.3963,0.3795,0.3562,0.1321,0.1227
kujiale_0092_kujiale_0092_91_1,hybrid_dist_waypoint_k3,False,,51,4.2767,False,False,8.4565,0.4737,0.2404,0.1691,0.0016
kujiale_0092_kujiale_0092_9_2,hybrid_dist_waypoint_k3,False,,39,2.8178,True,True,6.9823,0.4261,0.2648,0.1837,0.0172
kujiale_0118_kujiale_0118_25_3,hybrid_dist_waypoint_k3,False,,50,7.2931,False,False,7.3621,0.3791,0.3341,0.1502,0.0427
kujiale_0118_kujiale_0118_31_0,hybrid_dist_waypoint_k3,False,,51,3.5157,False,False,7.7967,0.3542,0.2768,0.1559,0.0486
kujiale_0118_kujiale_0118_40_4,hybrid_dist_waypoint_k3,False,,69,12.5761,False,False,10.3886,0.3367,0.2304,0.1528,0.0233
kujiale_0203_kujiale_0203_15_3,hybrid_dist_waypoint_k3,False,,41,5.6400,False,False,5.5887,0.3714,0.2941,0.1397,0.0599
kujiale_0203_kujiale_0203_16_3,hybrid_dist_waypoint_k3,False,,54,12.0867,False,False,7.3366,0.3860,0.2411,0.1384,0.0592
kujiale_0203_kujiale_0203_22_4,hybrid_dist_waypoint_k3,False,,62,7.8247,False,False,6.9055,0.3288,0.2487,0.1132,0.0205
kujiale_0203_kujiale_0203_25_0,hybrid_dist_waypoint_k3,False,,47,4.5456,False,True,6.7113,0.3741,0.2873,0.1459,0.0488
kujiale_0203_kujiale_0203_32_2,hybrid_dist_waypoint_k3,False,,59,5.7391,False,True,7.1924,0.3268,0.2568,0.1240,0.0377
kujiale_0203_kujiale_0203_43_1,hybrid_dist_waypoint_k3,False,,44,2.2640,True,True,4.6493,0.3314,0.2337,0.1081,0.0244
kujiale_0203_kujiale_0203_49_3,hybrid_dist_waypoint_k3,False,,63,1.9961,True,True,7.3228,0.3190,0.2448,0.1181,0.0112
kujiale_0271_kujiale_0271_15_1,hybrid_dist_waypoint_k3,False,,67,5.4533,False,True,11.6723,0.3264,0.2234,0.1769,0.0115
kujiale_0271_kujiale_0271_24_4,hybrid_dist_waypoint_k3,False,,61,7.1226,False,False,9.7451,0.3038,0.2150,0.1624,0.0391
kujiale_0271_kujiale_0271_7_3,hybrid_dist_waypoint_k3,False,,74,14.4846,False,True,13.1023,0.3906,0.3092,0.1795,0.0807
